mode1r,mode1i,mode2r,mode2i,other_moder,other_modei,g_phase,time
-0.082329774,0.26743352,-0.081392878,0.269431523,,,-0.8117891,
-0.081034012,0.2676369,-0.080083383,0.269604895,,,-0.812650334,
-0.079723743,0.267851039,-0.078759006,0.269788632,,,-0.813514146,
-0.078399127,0.268076116,-0.077419902,0.269982914,,,-0.814314353,
-0.077060326,0.268312308,-0.076066227,0.270187922,,,-0.814956924,
-0.075707503,0.268559789,-0.074698139,0.270403831,,,-0.815346891,
-0.074340826,0.26881873,-0.073315801,0.270630816,,,-0.815414696,
-0.072960463,0.269089301,-0.071919377,0.270869049,,,-0.815135369,
-0.071566586,0.269371669,-0.070509033,0.271118701,,,-0.814535887,
-0.070159368,0.269665998,-0.069084938,0.271379939,,,-0.813689281,
-0.068738986,0.269972451,-0.067647262,0.271652928,,,-0.812697386,
-0.067305617,0.270291189,-0.06619618,0.271937832,,,-0.811666956,
-0.065859442,0.270622367,-0.064731866,0.27223481,,,-0.81068533,
-0.064400644,0.270966142,-0.063254499,0.272544023,,,-0.809801732,
-0.062929407,0.271322665,-0.061764258,0.272865624,,,-0.809018675,
-0.061445918,0.271692086,-0.060261326,0.273199768,,,-0.808295226,
-0.059950367,0.272074553,-0.058745888,0.273546605,,,-0.807560915,
-0.058442944,0.27247021,-0.057218128,0.273906284,,,-0.806736433,
-0.056923843,0.272879198,-0.055678236,0.27427895,,,-0.805755778,
-0.055393258,0.273301658,-0.054126403,0.274664746,,,-0.80458431,
-0.053851387,0.273737726,-0.05256282,0.275063813,,,-0.803228429,
-0.052298427,0.274187536,-0.050987683,0.275476289,,,-0.801734776,
-0.050734581,0.274651218,-0.049401187,0.275902308,,,-0.800179526,
-0.049160051,0.275128902,-0.04780353,0.276342004,,,-0.798650733,
-0.04757504,0.275620711,-0.046194913,0.276795506,,,-0.797228252,
-0.045979755,0.27612677,-0.044575537,0.277262941,,,-0.795966206,
-0.044374404,0.276647198,-0.042945606,0.277744433,,,-0.794882152,
-0.042759196,0.277182112,-0.041305325,0.278240104,,,-0.794882152,
-0.041134342,0.277731625,-0.039654902,0.278750071,,,-0.794564914,
-0.039500055,0.27829585,-0.037994544,0.279274452,,,-0.794263534,
-0.037856549,0.278874893,-0.036324461,0.279813359,,,-0.793976121,
-0.03620404,0.279468861,-0.034644867,0.280366901,,,-0.793700506,
-0.034542745,0.280077855,-0.032955973,0.280935186,,,-0.793434311,
-0.032872882,0.280701976,-0.031257995,0.281518319,,,-0.793175016,
-0.031194672,0.281341317,-0.029551149,0.282116399,,,-0.792920038,
-0.029508335,0.281995974,-0.027835652,0.282729526,,,-0.792666803,
-0.027814095,0.282666036,-0.026111723,0.283357794,,,-0.792412823,
-0.026112176,0.28335159,-0.024379584,0.284001297,,,-0.792155764,
-0.024402801,0.28405272,-0.022639454,0.284660122,,,-0.791893516,
-0.022686198,0.284769506,-0.020891558,0.285334357,,,-0.791624249,
-0.020962594,0.285502027,-0.019136119,0.286024084,,,-0.791346466,
-0.019232217,0.286250357,-0.017373362,0.286729383,,,-0.791059046,
-0.017495296,0.287014566,-0.015603513,0.287450332,,,-0.790761272,
-0.015752063,0.287794724,-0.013826801,0.288187003,,,-0.790452855,
-0.014002748,0.288590895,-0.012043452,0.288939468,,,-0.790133939,
-0.012247585,0.289403142,-0.010253697,0.289707795,,,-0.7898051,
-0.010486805,0.290231521,-0.008457765,0.290492047,,,-0.78946733,
-0.008720643,0.29107609,-0.006655889,0.291292287,,,-0.789122009,
-0.006949334,0.2919369,-0.004848299,0.292108571,,,-0.788770872,
-0.005173113,0.292814,-0.003035229,0.292940955,,,-0.788415962,
-0.003392216,0.293707435,-0.001216913,0.293789491,,,-0.788059575,
-0.001606881,0.294617248,0.000606416,0.294654228,,,-0.787704201,
0.000182656,0.295543479,0.002434523,0.295535209,,,-0.787352459,
0.001976156,0.296486161,0.004267171,0.296432478,,,-0.787007028,
0.003773382,0.29744533,0.006104125,0.297346074,,,-0.786670577,
0.005574094,0.298421012,0.007945148,0.298276031,,,-0.786345698,
0.007378053,0.299413235,0.009790003,0.299222382,,,-0.786034839,
0.009185019,0.300422021,0.011638451,0.300185157,,,-0.785740238,
0.010994753,0.301447389,0.013490256,0.301164381,,,-0.78546387,
0.012807014,0.302489356,0.015345178,0.302160077,,,-0.785207396,
0.014621562,0.303547934,0.017202979,0.303172264,,,-0.784972122,
0.016438155,0.304623131,0.019063419,0.304200958,,,-0.784758964,
0.018256555,0.305714956,0.02092626,0.305246172,,,-0.78456843,
0.020076518,0.306823409,0.022791262,0.306307915,,,-0.784400607,
0.021897806,0.307948491,0.024658185,0.307386193,,,-0.784255161,
0.023720176,0.309090197,0.02652679,0.30848101,,,-0.784131348,
0.025543388,0.31024852,0.028396837,0.309592365,,,-0.784028034,
0.027367201,0.31142345,0.030268087,0.310720254,,,-0.78394373,
0.029191375,0.312614973,0.032140299,0.31186467,,,-0.783876626,
0.03101567,0.313823072,0.034013234,0.313025604,,,-0.783824645,
0.032839844,0.315047725,0.035886653,0.314203041,,,-0.783785496,
0.034663659,0.31628891,0.037760316,0.315396966,,,-0.783756734,
0.036486874,0.317546598,0.039633984,0.316607357,,,-0.783735825,
0.038309251,0.31882076,0.041507419,0.317834191,,,-0.783720211,
0.04013055,0.320111362,0.043380381,0.319077443,,,-0.783707377,
0.041950534,0.321418367,0.045252634,0.320337081,,,-0.783694919,
0.043768965,0.322741734,0.047123939,0.321613074,,,-0.7836806,
0.045585605,0.32408142,0.048994059,0.322905383,,,-0.783662411,
0.047400218,0.325437377,0.050862758,0.324213971,,,-0.783638624,
0.049212568,0.326809557,0.052729798,0.325538794,,,-0.783607832,
0.051022419,0.328197905,0.054594945,0.326879805,,,-0.783568985,
0.052829538,0.329602364,0.056457963,0.328236957,,,-0.783521417,
0.05463369,0.331022876,0.058318618,0.329610195,,,-0.783464861,
0.056434642,0.332459376,0.060176677,0.330999465,,,-0.783399453,
0.058232163,0.333911799,0.062031906,0.332404707,,,-0.783325727,
0.06002602,0.335380075,0.063884074,0.33382586,,,-0.783244598,
0.061815985,0.336864132,0.065732949,0.335262857,,,-0.783157338,
0.063601828,0.338363893,0.067578302,0.336715631,,,-0.783065536,
0.06538332,0.33987928,0.069419902,0.33818411,,,-0.782971058,
0.067160235,0.34141021,0.071257521,0.33966822,,,-0.782875991,
0.068932346,0.342956598,0.073090932,0.341167882,,,-0.78278259,
0.07069943,0.344518356,0.074919909,0.342683015,,,-0.782693211,
0.072461262,0.346095393,0.076744227,0.344213536,,,-0.782610249,
0.07421762,0.347687614,0.078563661,0.345759357,,,-0.782536069,
0.075968283,0.34929492,0.080377988,0.347320389,,,-0.782472944,
0.077713032,0.350917213,0.082186987,0.348896537,,,-0.782422985,
0.079451649,0.352554388,0.083990438,0.350487706,,,-0.782388087,
0.081183916,0.354206338,0.085788122,0.352093797,,,-0.782369871,
0.082909619,0.355872954,0.08757982,0.353714707,,,-0.782369637,
0.084628543,0.357554124,0.089365317,0.355350331,,,-0.782388324,
0.086340477,0.359249731,0.091144398,0.357000561,,,-0.782426484,
0.088045209,0.360959658,0.092916849,0.358665286,,,-0.782484255,
0.089742531,0.362683783,0.094682458,0.360344391,,,-0.782561358,
0.091432235,0.364421981,0.096441016,0.362037761,,,-0.782657094,
0.093114117,0.366174127,0.098192314,0.363745274,,,-0.782770359,
0.094787971,0.36794009,0.099936144,0.36546681,,,-0.782899669,
0.096453596,0.369719737,0.101672302,0.367202241,,,-0.783043188,
0.098110792,0.371512933,0.103400583,0.368951441,,,-0.783198778,
0.09975936,0.37331954,0.105120786,0.370714278,,,-0.783364044,
0.101399103,0.375139417,0.106832711,0.372490618,,,-0.783536398,
0.103029829,0.37697242,0.108536159,0.374280324,,,-0.783713118,
0.104651342,0.378818403,0.110230934,0.376083259,,,-0.783891418,
0.106263455,0.380677218,0.111916842,0.377899279,,,-0.784068518,
0.107865977,0.382548712,0.11359369,0.379728241,,,-0.784241714,
0.109458722,0.384432732,0.115261287,0.381569997,,,-0.784408447,
